Smiles,Standard Value,Standard Units,pIC50,Molecule ChEMBL ID
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,100.0,nM,7.0,CHEMBL2448065
Cl.Nc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc12,0.47,nM,9.33,CHEMBL539822
Cl.O=[N+]([O-])c1cccc2c1sc1c(Nc3cccc(Br)c3)ncnc12,158.0,nM,6.8,CHEMBL540082
COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)/C=C/CN(C)C,790.0,nM,6.1,CHEMBL263788
COc1ccc2ncncc2c1,30.0,nM,7.52,CHEMBL52472
C=C(CN(C)C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,560.0,nM,6.25,CHEMBL117326
C=CC(=O)N1CCC[C@H]1CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,1.9,nM,8.72,CHEMBL4070707
COc1cc2ncnc(N3CCc4ccccc43)c2cc1OC.Cl,3000.0,nM,5.52,CHEMBL545776
O=C(NCc1ccccc1)c1ccc(-c2cc(O)cc(-c3ccccc3)c2)cc1,8000.0,nM,5.1,CHEMBL142148
Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,0.01,nM,11.0,CHEMBL176582
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,15.0,nM,7.82,CHEMBL93051
Cc1ccc(-c2nc3cc(NC(=O)CCl)ccc3[nH]2)cc1,1929.0,nM,5.71,CHEMBL1812374
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,20000.0,nM,4.7,CHEMBL296407
O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)Nc2ccccc2)[nH]c2ccccc12)Nc1ccccc1,25000.0,nM,4.6,CHEMBL156797
Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(Cl)cc2)cc1,13730.0,nM,4.86,CHEMBL1828871
Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(F)cc2)cc1,8280.0,nM,5.08,CHEMBL1828866
O=C(Cc1ccc(Br)cc1)NS(=O)(=O)c1ccc(F)cc1,14530.0,nM,4.84,CHEMBL1828877
NC1CCN(Cc2ccn3ncnc(Nc4cccc(Cl)c4)c23)CC1,9.0,nM,8.05,CHEMBL1645473
Cc1ccccc1Nc1ncnn2ccc(CN3CCC(N)CC3)c12,660.0,nM,6.18,CHEMBL1645469
Cc1[nH]c2ncnc(Nc3cccc(Cl)c3)c2c1-c1ccccc1,6000.0,nM,5.22,CHEMBL308593
COc1cccc(-c2cn(C3CC(C(=O)NCCO)C3)c3ncnc(N)c23)c1,330.0,nM,6.48,CHEMBL354310
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2Cl)c1,5.5,nM,8.26,CHEMBL3986363
C=CC(=O)N1CCC[C@H]1Cn1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,2.298,nM,8.64,CHEMBL3910496
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,3100.0,nM,5.508638306165727,CHEMBL939
C=CC(=O)N[C@H]1CC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)CC1,20.6,nM,7.69,CHEMBL3647967
COc1cc(/C=C2\CCC/C(=C\c3ccc(OC)c(O)c3)C2=O)cc(OC)c1,5370.0,nM,5.27,CHEMBL2316155
COc1cc(/C=C2\CCC/C(=C\c3ccc(S(C)(=O)=O)cc3)C2=O)cc(OC)c1,1960.0,nM,5.71,CHEMBL2316158
COc1cc(/C=C(\C#N)S(=O)(=O)/C(C#N)=C/c2cc(O)c(O)c(OC)c2)cc(O)c1O,4000.0,nM,5.4,CHEMBL342792
CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,610.0,nM,6.21,CHEMBL1233882
CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21,954.0,nM,6.02,CHEMBL1230790
COc1ccc(-c2nn(C3CCC3)c3ncnc(N)c23)cc1OC,2300.0,nM,5.64,CHEMBL1233881
COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1,1.7,ug.mL-1,8.769551078621726,CHEMBL483526
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,20.0,nM,7.7,CHEMBL939
C=CC(=O)Nc1cccc(N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.98,nM,9.01,CHEMBL2029436
C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.93,nM,9.03,CHEMBL2029438
O=C(CCCCCC(=O)Nc1ccc(O)c(C(=O)Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1)NO,1100.0,nM,5.96,CHEMBL2047023
COc1cc(O)c(C(=O)Nc2ccc(F)c(Cl)c2)cc1NC(=O)CCCCCC(=O)NO,1560.0,nM,5.81,CHEMBL2047025
C#Cc1cccc(NC(=O)c2cc(OCCCCCCC(=O)NO)ccc2O)c1,900.0,nM,6.05,CHEMBL2047029
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.7,nM,9.15,CHEMBL285063
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,3.1,nM,8.51,CHEMBL294475
O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCC(Br)C2,13300.0,nM,4.88,CHEMBL408565
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,15.5,nM,7.81,CHEMBL1198370
C=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,86.9,nM,7.06,CHEMBL281300
Cn1ncc2c(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cccc21,36.0,nM,7.44,CHEMBL2048904
CS(=O)(=O)CCNC(=O)NCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,15.0,nM,7.82,CHEMBL206029
Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3cc[nH]n3)cc2Cl)c1,42.0,nM,7.38,CHEMBL205284
Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3ncccn3)cc2Cl)c1,77.0,nM,7.11,CHEMBL207869
Nc1ccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1,30.0,nM,7.52,CHEMBL205966
O=C(CCCCCC(=O)Nc1ccc(O)c(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)c1)NO,1410.0,nM,5.85,CHEMBL2047022
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,85.0,nM,7.07,CHEMBL1198361
